name,address,latitude,longitude,neighborhood
La Banquise,"994 Rue Rachel E, Montreal QC",45.522800,-73.569700,Plateau-Mont-Royal
Poutineville,"1348 Rue Ontario E, Montreal QC",45.522500,-73.555500,Ville-Marie
Patati Patata,"4177 Boulevard Saint-Laurent, Montreal QC",45.517000,-73.581000,Plateau-Mont-Royal
Chez Claudette,"351 Avenue Laurier E, Montreal QC",45.526500,-73.587500,Plateau-Mont-Royal
Restaurant Vito,"6250 Boulevard Saint-Laurent, Montreal QC",45.534000,-73.614000,Villeray
Snowdon Deli,"5265 Boulevard Decarie, Montreal QC",45.487000,-73.628000,Snowdon
Le Roi du Smoked Meat,"5967 Rue Sherbrooke O, Montreal QC",45.465000,-73.612000,Notre-Dame-de-Grace
Frite Alors!,"5100 Boulevard Saint-Laurent, Montreal QC",45.522500,-73.596000,Mile End
Deville Dinerbar,"4602 Boulevard Saint-Laurent, Montreal QC",45.519500,-73.593000,Mile End
La Belle Province,"1215 Rue Sainte-Catherine E, Montreal QC",45.518500,-73.554000,Ville-Marie
Dic Ann's,"4030 Boulevard Saint-Laurent, Montreal QC",45.515500,-73.579500,Plateau-Mont-Royal
Greasy Spoon,"4550 Rue Notre-Dame O, Montreal QC",45.479000,-73.592000,Saint-Henri
Poutine Centrale,"4326 Boulevard Saint-Laurent, Montreal QC",45.516500,-73.580000,Plateau-Mont-Royal
Le Nouveau Palais,"281 Rue Bernard O, Montreal QC",45.522500,-73.607000,Mile End
Ma Poule Mouillee,"969 Rue Rachel E, Montreal QC",45.522800,-73.570000,Plateau-Mont-Royal
